US EPA Office of Water Watershed Report,,,,,,,,,,
StreamCat Summary for Catchment Feature ID 21712830,,,,,,,,,,
Data extracted from StreamCat as of March 17 2017,,,,,,,,,,
More information on the StreamCat dataset at https://www.epa.gov/national-aquatic-resource-surveys/streamcat,,,,,,,,,,
StreamCat Search Criteria:,,,,,,,,,,
   o Area of Interest: CATCHMENT/WATERSHED; RIPARIAN BUFFER (100M),,,,,,,,,,
   o Landscape Class: DISTURBANCE; NATURAL,,,,,,,,,,
   o Landscape Metric Type: AGRICULTURE; CLIMATE; DISTURBANCE; HYDROLOGY; INFRASTRUCTURE; LAND COVER; LITHOLOGY; MINES; POLLUTION; RIPARIAN; SOILS; TOPOGRAPHY; URBAN; WETNESS,,,,,,,,,,
 ,,,,,,,,,,
Landscape Layer,Area of Interest (AOI),AOI Size (km²),Metric Description,Metric Value,Metric Unit of Measure,AOI Percent Covered,AOI Covered Size (km²),Landscape Metric Class,Landscape Metric Type,"Source Table Name,"
"Facility Registry Services (FRS): Toxic Release Inventory (TRI), National Pollutant Discharge Elimination System (NPDES), and Superfund Sites",Riparian Buffered Watershed,3.672,Density of georeferenced Toxic Release Inventory sites within the riparian mask of the upstream watershed.,0.544662309368192,sites/km²,100,3.672,Disturbance,Pollution,TRIDensWsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2000 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2000Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2000 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2000Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2000 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2000CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2000 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2000WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2001 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2001Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2001 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2001Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2001 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2001CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2001 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2001WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2002 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2002Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2002 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2002Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2002 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2002CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2002 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2002WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2003 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2003Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2003 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2003Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2003 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2003CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2003 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2003WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2004 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2004Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2004 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2004Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2004 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2004CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2004 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2004WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2005 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2005Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2005 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2005Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2005 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2005CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2005 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2005WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2006 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2006Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2006 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2006Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2006 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2006CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2006 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2006WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2007 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2007Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2007 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2007Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2007 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2007CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2007 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2007WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2008 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2008Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2008 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2008Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2008 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2008CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2008 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2008WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2009 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2009Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2009 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2009Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2009 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2009CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2009 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2009WsRp100
Wildland Fire Perimeters By Year 2000 - 2010,Catchment,6.8031,Percentage forest loss to fire (fire perimeter) in 2010 within the local catchment.,0,%,100,6.8031,Disturbance,Disturbance,PctFire2010Cat
Wildland Fire Perimeters By Year 2000 - 2010,Watershed,20.1411,Percentage forest loss to fire (fire perimeter) in 2010 within the total upstream watershed.,0,%,100,20.1411,Disturbance,Disturbance,PctFire2010Ws
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Catchment,1.2582,Percentage forest loss to fire (fire perimeter) in 2010 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFire2010CatRp100
Wildland Fire Perimeters By Year 2000 - 2010,Riparian Buffered Watershed,3.672,Percentage forest loss to fire (fire perimeter) in 2010 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFire2010WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2001 within the local catchment.,0.0661463156502,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2001Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2001 within the total upstream watershed.,0.120648822557,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2001Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2001 within the riparian mask of the local catchment.,0.071530758226037,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2001CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2001 within the riparian mask of the total upstream watershed.,0.367647058823529,%,100,3.672,Disturbance,Riparian,PctFrstLoss2001WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2002 within the local catchment.,0.277814525731,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2002Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2002 within the total upstream watershed.,0.764109209527,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2002Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2002 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2002CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2002 within the riparian mask of the total upstream watershed.,0.343137254901961,%,100,3.672,Disturbance,Riparian,PctFrstLoss2002WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2003 within the local catchment.,2.10345283768,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2003Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2003 within the total upstream watershed.,1.55502926851,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2003Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2003 within the riparian mask of the local catchment.,0.643776824034335,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2003CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2003 within the riparian mask of the total upstream watershed.,1.07843137254902,%,100,3.672,Disturbance,Riparian,PctFrstLoss2003WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2004 within the local catchment.,1.44198968117,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2004Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2004 within the total upstream watershed.,0.54962241387,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2004Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2004 within the riparian mask of the local catchment.,1.50214592274678,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2004CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2004 within the riparian mask of the total upstream watershed.,0.514705882352941,%,100,3.672,Disturbance,Riparian,PctFrstLoss2004WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2005 within the local catchment.,0.621775367112,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2005Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2005 within the total upstream watershed.,0.250234594933,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2005Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2005 within the riparian mask of the local catchment.,0.643776824034335,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2005CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2005 within the riparian mask of the total upstream watershed.,0.220588235294118,%,100,3.672,Disturbance,Riparian,PctFrstLoss2005WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2006 within the local catchment.,1.57428231248,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2006Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2006 within the total upstream watershed.,1.14392957684,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2006Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2006 within the riparian mask of the local catchment.,1.21602288984263,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2006CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2006 within the riparian mask of the total upstream watershed.,0.416666666666667,%,100,3.672,Disturbance,Riparian,PctFrstLoss2006WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2007 within the local catchment.,0.489482735812,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2007Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2007 within the total upstream watershed.,0.312793243666,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2007Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2007 within the riparian mask of the local catchment.,0.071530758226037,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2007CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2007 within the riparian mask of the total upstream watershed.,0.637254901960784,%,100,3.672,Disturbance,Riparian,PctFrstLoss2007WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2008 within the local catchment.,2.23574546898,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2008Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2008 within the total upstream watershed.,0.866884132446,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2008Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2008 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2008CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2008 within the riparian mask of the total upstream watershed.,0.147058823529412,%,100,3.672,Disturbance,Riparian,PctFrstLoss2008WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2009 within the local catchment.,0.171980420691,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2009Cat
Forest Loss By Year 2001 to 2013,Watershed,20.1411,Percent of forest loss detected primarily in the year 2009 within the total upstream watershed.,0.169802046562,%,100,20.1411,Disturbance,Disturbance,PctFrstLoss2009Ws
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Catchment,1.2582,Percent of forest loss detected primarily in the year 2009 within the riparian mask of the local catchment.,0,%,100,1.2582,Disturbance,Riparian,PctFrstLoss2009CatRp100
Riparian Buffer Forest Loss By Year 2001 to 2013,Riparian Buffered Watershed,3.672,Percent of forest loss detected primarily in the year 2009 within the riparian mask of the total upstream watershed.,0,%,100,3.672,Disturbance,Riparian,PctFrstLoss2009WsRp100
Forest Loss By Year 2001 to 2013,Catchment,6.8031,Percent of forest loss detected primarily in the year 2010 within the local catchment.,0.0926048419103,%,100,6.8031,Disturbance,Disturbance,PctFrstLoss2010Cat
